@RELATION riaa
@ATTRIBUTE ratio_0_9 NUMERIC
@ATTRIBUTE ratio_1_9 NUMERIC
@ATTRIBUTE ratio_2_9 NUMERIC
@ATTRIBUTE ratio_21_9 NUMERIC
@ATTRIBUTE ratio_22_9 NUMERIC
@ATTRIBUTE ratio_23_9 NUMERIC
@ATTRIBUTE ratio_4_0 NUMERIC
@ATTRIBUTE ratio_5_0 NUMERIC
@ATTRIBUTE ratio_6_0 NUMERIC
@ATTRIBUTE class {riaa_ok, riaa_ko}
@DATA
0.05595700, 0.23929945, 0.49087244, 0.45735240, 0.30149406, 0.16495913, 12.95123672, 15.49991894, 16.79964638, riaa_ok
0.69823670, 0.82506150, 0.87404454, 0.72465920, 0.58613575, 0.41861275, 1.33705294, 1.41376841, 1.49294913, riaa_ok
0.76138389, 0.96692443, 1.07626176, 0.62955105, 0.50279891, 0.35402137, 1.45497549, 1.39666975, 1.32169449, riaa_ok
0.28557819, 0.51592094, 0.71843702, 0.24355733, 0.14283140, 0.05700963, 3.08501601, 3.34363461, 3.55030870, riaa_ok
0.78898895, 1.00898683, 1.09877825, 0.77072978, 0.62648159, 0.44498926, 1.36886585, 1.24125922, 1.19114542, riaa_ok
0.64623648, 0.84206855, 0.93204504, 0.61470044, 0.52676988, 0.38818321, 1.50586545, 1.48641980, 1.47381175, riaa_ok
0.38237205, 0.69787997, 0.93301392, 0.31285238, 0.19028932, 0.08468323, 2.78179121, 2.86748266, 2.93785930, riaa_ok
0.52579439, 0.68656123, 0.83278537, 0.49902937, 0.39936787, 0.27173156, 1.80060065, 1.72376263, 1.71342409, riaa_ok
0.51074004, 0.79239148, 0.96552145, 0.27564451, 0.18441190, 0.08653224, 2.14062238, 2.21366262, 2.22097802, riaa_ok
0.34761718, 0.54286897, 0.71717703, 0.39425579, 0.28888792, 0.18209504, 2.46669126, 2.64541411, 2.78804088, riaa_ok
0.43381238, 0.70708859, 0.91176027, 0.25150460, 0.15264931, 0.06765072, 2.38978720, 2.36422348, 2.32459974, riaa_ok
0.61710262, 0.76406819, 0.85862416, 0.37814048, 0.26462036, 0.15127312, 1.51650810, 1.53486216, 1.59584999, riaa_ok
0.76210642, 0.90677440, 1.00678813, 0.69556767, 0.55120111, 0.39098752, 1.36553895, 1.30357492, 1.26843619, riaa_ok
0.38274848, 0.61716360, 0.79742354, 0.28205112, 0.14814280, 0.05551747, 2.37025023, 2.44530845, 2.59219193, riaa_ok
0.64794338, 0.80976862, 0.89234996, 0.72729915, 0.59105825, 0.41914952, 1.51572084, 1.56278718, 1.62977314, riaa_ok
0.82271010, 1.06752467, 1.16063023, 0.78797084, 0.63088506, 0.44709048, 1.44585252, 1.42960823, 1.42782259, riaa_ok
0.86699867, 1.03289449, 1.13036656, 0.54825372, 0.41662094, 0.26991880, 1.35934353, 1.26103890, 1.18441904, riaa_ok
0.69926625, 0.85940987, 0.99101681, 0.83066368, 0.67509145, 0.49496260, 1.53287339, 1.53399062, 1.50716150, riaa_ok
0.33116868, 0.54368460, 0.69446135, 0.61277431, 0.44453263, 0.26488009, 2.52693987, 2.78850675, 3.12668347, riaa_ok
0.50990987, 0.76742345, 0.73984700, 0.07225894, 0.02903732, 0.00817311, 1.37476182, 1.18319285, 1.35624766, riaa_ok
0.67142880, 0.90476650, 1.00615656, 0.86784822, 0.75107408, 0.58239931, 1.55538380, 1.44923341, 1.41803205, riaa_ok
0.69227791, 0.89539152, 0.99279368, 0.53256959, 0.40694055, 0.26866212, 1.48345459, 1.42731261, 1.42799699, riaa_ok
0.69332141, 0.87486053, 0.98657107, 0.63250875, 0.53964049, 0.40709776, 1.53857458, 1.46035480, 1.48013461, riaa_ok
0.79418641, 0.93714660, 0.98431337, 0.59944421, 0.46761131, 0.32381034, 1.28261769, 1.27384031, 1.28869355, riaa_ok
0.92102426, 1.14017832, 1.16458166, 0.48749238, 0.34278339, 0.19808438, 1.28830266, 1.28182852, 1.26513624, riaa_ok
0.74882227, 0.87397748, 0.84948641, 0.44118312, 0.32604390, 0.20564954, 1.11686587, 1.08525407, 1.10643828, riaa_ok
0.23514923, 0.57232124, 0.91327429, 0.24506415, 0.12887172, 0.04295279, 4.83480692, 4.94809628, 4.99064112, riaa_ok
0.71429282, 0.83937216, 0.82176030, 0.47792646, 0.34697562, 0.21419072, 1.14468241, 1.10858834, 1.16883612, riaa_ok
0.77579784, 0.92547047, 0.95890838, 0.66700381, 0.50890779, 0.34666520, 1.25389731, 1.17996788, 1.24008942, riaa_ok
0.49266288, 0.69235289, 0.83794194, 0.27449295, 0.17245214, 0.08279505, 1.96274543, 2.03539777, 2.13335776, riaa_ok
0.73820096, 0.91832608, 0.95048511, 0.52331632, 0.42590144, 0.28685704, 1.35620487, 1.38781726, 1.38584054, riaa_ok
0.63726103, 0.84730053, 0.91256112, 0.82635683, 0.71273631, 0.54179132, 1.43735456, 1.42955196, 1.54641473, riaa_ok
0.68438941, 0.85650748, 0.98330861, 0.54864025, 0.44156396, 0.31356940, 1.53397167, 1.50105143, 1.51456344, riaa_ok
0.63338214, 0.82153815, 0.92184556, 0.57465988, 0.48139083, 0.35433942, 1.52290010, 1.54782403, 1.62480247, riaa_ok
0.92714757, 1.21409261, 1.20659709, 0.54449356, 0.39577356, 0.22752681, 1.25287390, 1.15941036, 1.11124039, riaa_ok
0.61520147, 0.79754496, 0.88301021, 0.54716325, 0.37009445, 0.20279004, 1.56771421, 1.72678518, 1.85663164, riaa_ok
0.74871480, 0.92270356, 0.95152241, 0.57061285, 0.46780536, 0.34609553, 1.34393883, 1.34710264, 1.35055101, riaa_ok
